VALUES, FULL GPU, FULL CPU, FULL CPU MT, GPU-CPU, GPU-CPU MT, FULL GPU ATOMIC
46200,9184,615739,352342,26728,123006,12422
46300,9238,626077,346350,26531,129088,12551
46400,9133,625008,353279,26671,122154,12603
46500,9205,619883,344271,28543,124037,12520
46600,9160,620735,353749,27279,121755,12461
46700,9010,625296,355299,26623,121974,12691
46800,10172,637744,343688,27440,138777,13542
46900,9208,631817,351442,27470,128282,12594
47000,9164,629882,356884,27695,119671,12673
47100,9119,629077,349610,26686,128182,12579
47200,9278,630121,351544,29949,119704,12559
47300,9360,633139,351495,26752,118443,12800
47400,9126,631316,344884,27003,125887,12677
47500,9208,632283,359809,26848,118066,12773
47600,9512,634667,352016,26710,122654,12648
47700,9315,681538,353916,26873,126609,13257
47800,9266,636716,392879,27456,124259,13245
47900,9517,641268,357824,27348,122861,12637
48000,9180,640166,347229,28338,123455,12667
48100,9159,640670,348783,26868,135390,12763
48200,9641,643977,360276,26999,122095,12914
48300,9261,643791,351602,27654,125632,12840
48400,9417,646811,363946,27078,125721,12866
48500,9187,648983,365897,26993,123756,12891
48600,9242,654043,354627,26843,124134,12877
48700,9420,690308,350497,27321,124287,13442
48800,9305,729927,388364,27791,126287,12839
48900,9176,653711,360173,27121,124432,12913
49000,9274,665183,356496,27489,123202,12908
49100,9378,659911,356824,27096,123701,12988
49200,9287,657484,363104,27904,124205,13042
49300,9915,660701,356094,27505,123686,13257
49400,9368,657770,358346,27592,124167,13023
49500,9332,661939,357795,29954,123104,13004
49600,9272,660441,375290,27118,123610,12950
49700,9286,661608,369206,28008,121878,13007
49800,9215,662323,354183,27182,127266,13264
49900,9333,667812,402127,27184,120541,13123
50000,9254,664949,365661,27359,124056,13121
